filename, language, Dockerfile, Paradox, Markdown, Ignore, Gemfile, Ruby, YAML, HTML, Properties, XML, JavaScript, ERB, CSS, CoffeeScript, JSON, Log, comment, blank, total
xulung_app/app/assets/javascripts/pdfjs/l10n.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 79, 35, 323
xulung_app/app/assets/javascripts/pdfjs/pdf.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32208, 0, 0, 0, 0, 0, 1310, 1740, 35258
xulung_app/app/assets/javascripts/pdfjs/pdf.worker.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35799, 0, 0, 0, 0, 0, 1258, 1631, 38688
xulung_app/app/assets/javascripts/pdfjs/viewer.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1838, 0, 0, 0, 0, 0, 124, 338, 2300
xulung_app/app/assets/javascripts/perfect-scrollbar.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 548, 0, 0, 0, 0, 0, 33, 94, 675
xulung_app/app/assets/javascripts/post.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
xulung_app/app/assets/javascripts/revolution-slider.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
xulung_app/app/assets/javascripts/simditor/hotkeys.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 4, 5, 242
xulung_app/app/assets/javascripts/simditor/jquery.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 5
xulung_app/app/assets/javascripts/simditor/marked.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
xulung_app/app/assets/javascripts/simditor/mobilecheck.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
xulung_app/app/assets/javascripts/simditor/module.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 4, 23, 175
xulung_app/app/assets/javascripts/simditor/page-demo.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
xulung_app/app/assets/javascripts/simditor/page-doc.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
xulung_app/app/assets/javascripts/simditor/page-download.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
xulung_app/app/assets/javascripts/simditor/page-form.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
xulung_app/app/assets/javascripts/simditor/simditor-fullscreen.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 14, 100
xulung_app/app/assets/javascripts/simditor/simditor-html.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 4, 17, 105
